	Lat	Lon	ps (cm)
	55.0	60.0	8.732787878787867
	55.0	60.25	8.732787878787867
	55.0	60.5	11.151824915824905
	55.0	60.75	12.803410774410787
	55.0	61.0	12.979121212121221
	55.0	61.25	12.482747474747473
	55.0	61.5	12.612696969696989
	55.0	61.75	13.322356902356878
	55.0	62.0	14.024515151515168
	55.0	62.25	14.404595959595973
	55.0	62.5	14.537835016835098
	55.0	62.75	14.717683501683474
	55.0	63.0	14.809033670033607
	55.0	63.25	14.85164646464643
	55.0	63.5	14.843915824915783
	55.0	63.75	14.629505050505049
	55.0	64.0	14.315026936026955
	55.0	64.25	14.099367003367002
	55.0	64.5	14.104646464646436
	55.0	64.75	13.89985858585855
	55.0	65.0	13.697397306397313
	55.0	65.25	13.926047138047082
	55.0	65.5	14.302360269360262
	55.0	65.75	14.358373737373709
	55.0	66.0	14.210838383838402
	55.0	66.25	13.97238047138046
	55.0	66.5	13.97238047138046
	55.0	66.75	13.81652188552186
	55.0	67.0	13.850797979797985
	55.0	67.25	13.939969696969692
	55.0	67.5	14.042925925925962
	55.0	67.75	13.983653198653204
	55.0	68.0	13.948434343434357
	55.0	68.25	14.044249158249142
	55.0	68.5	14.062131313131315
	55.0	68.75	13.879730639730582
	55.0	69.0	13.846333333333368
	55.0	69.25	14.052952861952859
	55.0	69.5	14.53449831649833
	55.0	69.75	14.9923973063973
	55.0	70.0	15.204643097643109
	55.0	70.25	15.193710437710433
	55.0	70.5	15.085265993265997
	55.0	70.75	15.130521885521977
	55.0	71.0	15.18293265993262
	55.0	71.25	15.231033670033696
	55.0	71.5	15.315727272727273
	55.0	71.75	15.381754208754245
	55.0	72.0	15.382717171717188
	55.0	72.25	15.240912457912508
	55.0	72.5	14.840898989898934
	55.0	72.75	14.840898989898934
	55.0	73.0	14.14875420875427
	55.0	73.25	13.600875420875463
	55.0	73.5	13.970848484848474
	55.0	73.75	14.812629629629692
	55.0	74.0	15.425340067340082
	55.0	74.25	15.739272727272697
	55.0	74.5	15.80101683501683
	55.0	74.75	15.889956228956216
	55.0	75.0	16.09094276094276
	55.0	75.25	16.23273737373733
	55.0	75.5	16.233006734006732
	55.0	75.75	16.225555555555513
	55.0	76.0	16.2554478114478
	55.0	76.25	16.14488552188552
	55.0	76.5	15.81591582491584
	55.0	76.75	15.413643097643067
	55.0	77.0	14.972387205387248
	55.0	77.25	14.369080808080792
	55.0	77.5	14.153909090909108
