	Lat	Lon	ps (cm)
	25.0	75.0	1.4323670033670035
	25.0	75.25	1.4313602693602705
	25.0	75.5	1.696824915824915
	25.0	75.75	2.0388047138047187
	25.0	76.0	2.370656565656562
	25.0	76.25	2.745824915824919
	25.0	76.5	3.230794612794615
	25.0	76.75	3.707740740740737
	25.0	77.0	4.0575016835016875
	25.0	77.25	4.163437710437715
	25.0	77.5	4.1267474747474715
	25.0	77.75	4.302676767676769
	25.0	78.0	5.034367003367007
	25.0	78.25	6.337242424242411
	25.0	78.5	7.939279461279473
	25.0	78.75	8.986848484848474
	25.0	79.0	8.986848484848474
	25.0	79.25	11.025572390572353
	25.0	79.5	13.820377104377094
	25.0	79.75	16.300774410774373
	25.0	80.0	16.09933670033676
	25.0	80.25	14.284464646464684
	25.0	80.5	12.611090909090903
	25.0	80.75	11.403690235690243
	25.0	81.0	10.97498989898988
	25.0	81.25	10.76410774410776
	25.0	81.5	10.367740740740782
	25.0	81.75	9.550259259259244
	25.0	82.0	8.456040404040436
	25.0	82.25	6.12409090909091
	25.0	82.5	3.0791649831649845
	25.0	82.75	2.3160404040404057
	25.0	83.0	3.171757575757579
	25.0	83.25	4.841164983164981
	25.0	83.5	6.11519865319865
	25.0	83.75	6.809673400673408
	25.0	84.0	6.945760942760915
	25.0	84.25	6.861417508417501
	25.0	84.5	6.891700336700351
	25.0	84.75	6.922744107744122
	25.0	85.0	7.131161616161602
	25.0	85.25	7.448814814814823
	25.0	85.5	7.448814814814823
	25.0	85.75	7.547942760942771
	25.0	86.0	7.3465723905724
	25.0	86.25	7.054148148148142
	25.0	86.5	6.8978518518518515
	25.0	86.75	7.104919191919171
	25.0	87.0	7.783272727272716
	25.0	87.25	8.434286195286186
	25.0	87.5	8.51389562289563
	25.0	87.75	7.96773737373738
	25.0	88.0	7.310356902356907
	25.0	88.25	6.4669730639730565
	25.0	88.5	5.041373737373738
	25.0	88.75	3.7303063973063963
	25.0	89.0	2.7136969696969753
	25.0	89.25	2.218787878787883
	25.0	89.5	1.8091683501683458
	25.0	89.75	1.54089898989899
	25.0	90.0	1.3605622895622853
	25.0	90.25	1.4837845117845145
	25.0	90.5	1.8046430976430954
	25.0	90.75	1.4103063973063974
	25.0	91.0	0.8475387205387195
	25.0	91.25	0.6223636363636363
	25.0	91.5	0.7869966329966335
	25.0	91.75	0.7869966329966335
	25.0	92.0	1.3204242424242398
	25.0	92.25	1.4227643097643128
	25.0	92.5	1.15190909090909
	25.0	92.75	1.6432424242424237
	25.0	93.0	2.742225589225588
	25.0	93.25	3.4384309764309897
	25.0	93.5	3.542845117845116
	25.0	93.75	3.2848350168350136
	25.0	94.0	1.8658181818181812
	25.0	94.25	0.7089191919191918
	25.0	94.5	0.2667239057239057
	25.0	94.75	0.24497643097643088
	25.0	95.0	0.30960606060606016
	25.0	95.25	0.32092929292929284
	25.0	95.5	0.3085521885521886
	25.0	95.75	0.32441750841750855
	25.0	96.0	0.39028956228956263
	25.0	96.25	0.46225925925925915
	25.0	96.5	0.5157542087542087
	25.0	96.75	0.681346801346801
	25.0	97.0	0.9289023569023571
	25.0	97.25	1.242515151515151
	25.0	97.5	1.3862592592592589
	25.0	97.75	1.2890235690235676
	25.0	98.0	1.2890235690235676
	25.0	98.25	1.0079225589225576
	25.0	98.5	0.7491818181818201
	25.0	98.75	0.5327104377104367
	25.0	99.0	0.35543771043771055
	25.0	99.25	0.20291919191919172
	25.0	99.5	0.1963333333333335
	25.0	99.75	0.16799663299663278
	25.0	100.0	0.15724579124579136
	25.0	100.25	0.13329292929292935
	25.0	100.5	0.12543434343434343
	25.0	100.75	0.1063838383838383
	25.0	101.0	0.09971717171717179
	25.0	101.25	0.12653535353535345
	25.0	101.5	0.11378451178451182
	25.0	101.75	0.10287878787878786
	25.0	102.0	0.0913063973063973
	25.0	102.25	0.08380471380471381
	25.0	102.5	0.08815488215488214
	25.0	102.75	0.06945454545454548
	25.0	103.0	0.03438047138047136
	25.0	103.25	0.027895622895622908
	25.0	103.5	0.06379124579124577
	25.0	103.75	0.13156902356902347
	25.0	104.0	0.1930976430976428
	25.0	104.25	0.1930976430976428
	25.0	104.5	0.2042929292929293
	25.0	104.75	0.17685185185185204
	25.0	105.0	0.1645016835016835
	25.25	75.0	1.5492390572390555
	25.25	75.25	1.4329191919191917
	25.25	75.5	1.405569023569023
	25.25	75.75	1.5606026936026944
	25.25	76.0	1.8160437710437736
	25.25	76.25	2.337690235690228
	25.25	76.5	2.9646329966329956
	25.25	76.75	3.5249966329966274
	25.25	77.0	3.757060606060602
	25.25	77.25	3.615582491582484
	25.25	77.5	3.488626262626256
	25.25	77.75	4.265464646464664
	25.25	78.0	5.839622895622901
	25.25	78.25	7.9214276094276315
	25.25	78.5	10.517555555555559
	25.25	78.75	12.867659932659937
	25.25	79.0	12.867659932659937
	25.25	79.25	15.377437710437668
	25.25	79.5	16.99109764309763
	25.25	79.75	17.16513804713809
	25.25	80.0	15.791363636363599
	25.25	80.25	14.04110101010105
	25.25	80.5	12.168198653198592
	25.25	80.75	9.887562289562279
	25.25	81.0	7.832259259259256
	25.25	81.25	6.9348013468013345
	25.25	81.5	6.71391582491581
	25.25	81.75	6.383323232323218
	25.25	82.0	5.134451178451186
	25.25	82.25	3.574306397306386
	25.25	82.5	2.0900639730639763
	25.25	82.75	1.6270942760942766
	25.25	83.0	1.7326734006734015
	25.25	83.25	2.596831649831648
	25.25	83.5	3.5385824915824946
	25.25	83.75	4.722097643097639
	25.25	84.0	6.194121212121209
	25.25	84.25	7.411686868686867
	25.25	84.5	8.168464646464667
	25.25	84.75	8.634710437710433
