	Lat	Lon	ps (cm)
	15.0	60.0	4.055655899802238
	15.0	60.25	4.100339485827289
	15.0	60.5	5.316934739617663
	15.0	60.75	6.40275214238631
	15.0	61.0	6.730210942649973
	15.0	61.25	6.612705998681597
	15.0	61.5	6.5092682926829255
	15.0	61.75	6.757053394858291
	15.0	62.0	7.1703098220171295
	15.0	62.25	7.306954515491076
	15.0	62.5	7.487142386288732
	15.0	62.75	7.68827620303231
	15.0	63.0	7.904123269611073
	15.0	63.25	8.015926170072511
	15.0	63.5	8.052445616348058
	15.0	63.75	7.833846407383007
	15.0	64.0	7.603935398813456
	15.0	64.25	7.473951878707988
	15.0	64.5	7.38004614370469
	15.0	64.75	7.254215557020456
	15.0	65.0	7.2155471324983464
	15.0	65.25	7.436526038233352
	15.0	65.5	7.557564271588617
	15.0	65.75	7.43305866842452
	15.0	66.0	7.352900461437049
	15.0	66.25	7.20793012524716
	15.0	66.5	7.200266974291327
	15.0	66.75	7.187534607778515
	15.0	67.0	7.271512854317723
	15.0	67.25	7.339594594594621
	15.0	67.5	7.473160843770583
	15.0	67.75	7.428104812129201
	15.0	68.0	7.4870929466051335
	15.0	68.25	7.490688859591291
	15.0	68.5	7.557435728411333
	15.0	68.75	7.605965721819374
	15.0	69.0	7.765761371127221
	15.0	69.25	8.063029004614359
	15.0	69.5	8.430863546473267
	15.0	69.75	8.762798286090975
	15.0	70.0	8.873895847066567
	15.0	70.25	9.015227422544495
	15.0	70.5	8.961697429136457
	15.0	70.75	8.796634805537236
	15.0	71.0	8.68061305207646
	15.0	71.25	8.610929466051418
	15.0	71.5	8.553497033618967
	15.0	71.75	8.602801582069882
	15.0	72.0	8.743941990771273
	15.0	72.25	8.816506262359926
	15.0	72.5	8.618628872775203
	15.0	72.75	8.639410019775859
	15.0	73.0	8.306779828609077
	15.0	73.25	8.01972313777195
	15.0	73.5	8.201835860250455
	15.0	73.75	8.63524390243901
	15.0	74.0	8.934861568885935
	15.0	74.25	9.039808833223516
	15.0	74.5	9.059030982201694
	15.0	74.75	9.062333553065255
	15.0	75.0	8.947106130520766
	15.0	75.25	8.946914963744234
	15.0	75.5	8.951308503625585
	15.0	75.75	8.855744891232705
	15.0	76.0	8.87937376400792
	15.0	76.25	8.783998022412641
	15.0	76.5	8.543566249176042
	15.0	76.75	8.07273566249176
	15.0	77.0	7.446980883322354
	15.0	77.25	6.788487145682285
	15.0	77.5	6.61662162162165
	15.0	77.75	7.20299934080422
	15.0	78.0	8.024887936717187
	15.0	78.25	8.482768622280814
	15.0	78.5	9.022841133816694
	15.0	78.75	9.684027686222793
