	Lat	Lon	ps (cm)
	15.0	60.0	6.394221889295053
	15.0	60.25	6.416563682307578
	15.0	60.5	8.234379827721284
	15.0	60.75	9.603081458398549
	15.0	61.0	9.854666077385597
	15.0	61.25	9.547726736714536
	15.0	61.5	9.560982631189958
	15.0	61.75	10.039705148607585
	15.0	62.0	10.59741248676615
	15.0	62.25	10.855775237543524
	15.0	62.5	11.012488701561916
	15.0	62.75	11.202979852357892
	15.0	63.0	11.35657846982234
	15.0	63.25	11.43378631735947
	15.0	63.5	11.448180720631921
	15.0	63.75	11.231675728944028
	15.0	64.0	10.959481167420206
	15.0	64.25	10.786659441037495
	15.0	64.5	10.742346304175562
	15.0	64.75	10.577037071439502
	15.0	65.0	10.45647221944783
	15.0	65.25	10.681286588140217
	15.0	65.5	10.929962270474439
	15.0	65.75	10.895716202899115
	15.0	66.0	10.781869422637726
	15.0	66.25	10.59015529831381
	15.0	66.5	10.586323722835893
	15.0	66.75	10.502028246650188
	15.0	67.0	10.561155417057854
	15.0	67.25	10.639782145782156
	15.0	67.5	10.758043384848273
	15.0	67.75	10.705879005391203
	15.0	68.0	10.717763645019746
	15.0	68.25	10.767469008920216
	15.0	68.5	10.809783520771324
	15.0	68.75	10.742848180774978
	15.0	69.0	10.806047352230294
	15.0	69.25	11.057990933283609
	15.0	69.5	11.482680931485799
	15.0	69.75	11.877597796244139
	15.0	70.0	12.039269472354839
	15.0	70.25	12.104468930127464
	15.0	70.5	12.023481711201228
	15.0	70.75	11.963578345529607
	15.0	71.0	11.931772856004539
	15.0	71.25	11.920981568042556
	15.0	71.5	11.93461215317312
	15.0	71.75	11.992277895412062
	15.0	72.0	12.06332958124423
	15.0	72.25	12.028709360136217
	15.0	72.5	11.729763931337068
	15.0	72.75	11.740154504837395
	15.0	73.0	11.227767018681673
	15.0	73.25	10.810299279323706
	15.0	73.5	11.086342172549465
	15.0	73.75	11.72393676603435
	15.0	74.0	12.180100818113008
	15.0	74.25	12.389540780248106
	15.0	74.5	12.430023908609261
	15.0	74.75	12.476144891010735
	15.0	75.0	12.519024445731763
	15.0	75.25	12.589826168740782
	15.0	75.5	12.59215761881616
	15.0	75.75	12.54065022339411
	15.0	76.0	12.56741078772786
	15.0	76.25	12.46444177214908
	15.0	76.5	12.17974103704594
	15.0	76.75	11.743189380067413
	15.0	77.0	11.209684044354802
	15.0	77.25	10.578783976881539
	15.0	77.5	10.385265356265379
	15.0	77.75	10.831504720907175
	15.0	78.0	11.471252049166662
	15.0	78.25	11.881380944137057
	15.0	78.5	12.419189927177694
	15.0	78.75	12.978752900350436
	15.0	79.0	12.993983618873838
	15.0	79.25	13.267038632867926
	15.0	79.5	13.348174260735234
	15.0	79.75	13.105114081931118
	15.0	80.0	12.999120128998197
	15.0	80.25	12.99476175066421
	15.0	80.5	13.012021609192338
	15.0	80.75	12.99195587272414
	15.0	81.0	13.058826481692343
	15.0	81.25	13.13622858335053
	15.0	81.5	12.957068264495149
	15.0	81.75	12.63442315597193
	15.0	82.0	12.098991495930488
	15.0	82.25	10.922972341521131
	15.0	82.5	9.167934706324957
	15.0	82.75	8.134004244821302
	15.0	83.0	8.350694046596496
	15.0	83.25	9.35064786959909
	15.0	83.5	10.266422962874199
	15.0	83.75	10.695755077694084
	15.0	84.0	11.036749407944543
	15.0	84.25	11.202880862015027
	15.0	84.5	11.418695428244217
	15.0	84.75	11.659779552279527
	15.0	85.0	12.116982177299217
	15.0	85.25	12.414303095778696
	15.0	85.5	12.439164664664654
	15.0	85.75	12.354423939460524
	15.0	86.0	11.893669538718328
	15.0	86.25	10.70424031015496
	15.0	86.5	8.82604600609481
	15.0	86.75	6.529141245458332
	15.0	87.0	4.37233257314966
	15.0	87.25	3.038653297421595
	15.0	87.5	2.379064696625673
	15.0	87.75	2.0909732792659628
	15.0	88.0	2.1515222306563784
	15.0	88.25	2.626417622722507
	15.0	88.5	3.708359478103383
	15.0	88.75	5.335296469418413
	15.0	89.0	6.5032488630537575
	15.0	89.25	6.885351747534676
	15.0	89.5	6.834752890362648
	15.0	89.75	7.038075329209455
	15.0	90.0	7.365723278711105
	15.0	90.25	7.528440201842618
	15.0	90.5	7.543432290383514
	15.0	90.75	7.27397039722648
	15.0	91.0	7.204133689121495
	15.0	91.25	6.897335517335502
	15.0	91.5	5.888213739238127
	15.0	91.75	5.875450060925669
	15.0	92.0	4.420330669916033
	15.0	92.25	3.3110948276435934
	15.0	92.5	2.712990138697447
	15.0	92.75	2.7294574441403685
	15.0	93.0	3.4818982097396773
	15.0	93.25	4.702515663113228
	15.0	93.5	5.970690925959238
	15.0	93.75	6.5626495087104875
	15.0	94.0	6.140407188785241
	15.0	94.25	5.87729761690738
	15.0	94.5	6.281488889110819
	15.0	94.75	6.731875282155759
	15.0	95.0	6.611848635775478
	15.0	95.25	5.997373479910069
	15.0	95.5	4.9916055922885265
	15.0	95.75	3.8570599346575003
	15.0	96.0	2.9684552867723593
	15.0	96.25	2.5921847712457415
	15.0	96.5	2.2779102051053246
	15.0	96.75	2.0638710883832796
	15.0	97.0	2.1568533921948525
	15.0	97.25	2.486467756004338
	15.0	97.5	3.003774671567356
	15.0	97.75	3.6444556374556227
	15.0	98.0	3.647990574832023
	15.0	98.25	4.510206075254857
	15.0	98.5	5.7237351708693165
	15.0	98.75	7.08266120777094
	15.0	99.0	7.764399067581987
	15.0	99.25	7.786860097347871
	15.0	99.5	7.411968526175835
	15.0	99.75	7.566409157494517
	15.0	100.0	8.153264328630183
	15.0	100.25	9.205611087806217
	15.0	100.5	10.170055119420956
	15.0	100.75	10.174522425973658
	15.0	101.0	9.165897249799684
	15.0	101.25	7.996350018532977
	15.0	101.5	7.385781121476242
	15.0	101.75	7.111018046871717
	15.0	102.0	6.437948520582647
	15.0	102.25	5.1964073352731885
	15.0	102.5	4.404385182299805
	15.0	102.75	4.227532029812513
	15.0	103.0	4.372900444790702
	15.0	103.25	4.457786802323399
	15.0	103.5	4.540481169639701
	15.0	103.75	4.848500843415466
	15.0	104.0	5.124654396081237
	15.0	104.25	5.124654396081237
	15.0	104.5	5.098254208754215
	15.0	104.75	5.003556604276118
	15.0	105.0	5.123772214564905
	15.0	105.25	5.123129766129772
	15.0	105.5	5.146581807972058
	15.0	105.75	5.390948526131442
	15.0	106.0	6.120012474780771
	15.0	106.25	7.204936996863843
	15.0	106.5	8.46037304377548
